Summary
Total Documents with Terms,50
Total Documents without Terms,51

Document,Terms Found,Term Count
"United States v. Ramos, 2023 U.S. Dist. LEXIS 46600.DOCX","human smuggling, alien smuggling, alien, transportation of illegal aliens",4
"United States v. Klensch, 87 F.4th 1159.DOCX","human smuggling, alien smuggling, alien, illegal entry, transportation of illegal aliens",5
"United States v. Beard, 2023 U.S. Dist. LEXIS 29007.DOCX",human smuggling,1
"Farmworker Ass'n of Fla., Inc. v. DeSantis, 2023 U.S. Dist. LEXIS 227415.DOCX","alien, undocumented immigrants",2
"United States v. Hernandez, 2023 U.S. Dist. LEXIS 224114.DOCX","human smuggling, alien",2
"State v. Flores, 679 S.W.3d 232.DOCX","human smuggling, alien, harboring, coyote",4
"United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374.DOCX","human smuggling, alien transportation, alien smuggling, alien",4
Files (100)_doclist.DOCX,human smuggling,1
"United States v. Stemann, 2023 U.S. Dist. LEXIS 212324.DOCX","alien smuggling, alien, transportation of illegal aliens",3
"United States v. LeDezma-Mejia, 2023 U.S. Dist. LEXIS 105405.DOCX","human smuggling, alien smuggling, alien",3
"United States v. Jackson, 2023 U.S. Dist. LEXIS 24020.DOCX","alien smuggling, alien, transportation of illegal aliens",3
"State v. Gomez, 692 S.W.3d 710.DOCX",trespassing,1
"Schott v. Babb, 2023 U.S. Dist. LEXIS 196297.DOCX",human smuggling,1
"Texas v. U.S. Dep't of Homeland Sec., 700 F. Supp. 3d 539.DOCX","alien, illegal entry",2
"United States v. Raniewicz, 2023 U.S. Dist. LEXIS 168994.DOCX",human smuggling,1
"Ex parte Vazquez-Bautista, 683 S.W.3d 504.DOCX","human smuggling, trespassing",2
"United States v. Hurtado, 89 F.4th 881.DOCX",alien,1
"State v. Wilburn, 2023-Ohio-4865.DOCX",trespassing,1
"Gen. Land Office of Tex v. Biden, 71 F.4th 264.DOCX","human smuggling, alien, undocumented immigrants",3
"United States v. Taylor, 2023 U.S. Dist. LEXIS 120967.DOCX","human smuggling, alien smuggling, alien, undocumented immigrants, transportation of illegal aliens",5
"Texas v. United States Dep't of Homeland Sec., 2023 U.S. Dist. LEXIS 212676.DOCX","alien, illegal entry",2
"Ex parte Vazquez-Bautista, 2023 Tex. App. LEXIS 5935.DOCX","human smuggling, trespassing",2
"United States v. Ibarra, 678 F. Supp. 3d 1233.DOCX","alien smuggling, alien",2
"Amieva-Castaneda v. Garland, 2023 U.S. App. LEXIS 31775.DOCX",alien,1
"Ex parte Antonio-Santiago, 2023 Tex. App. LEXIS 6751.DOCX","human smuggling, trespassing",2
"United States v. Warrington, 78 F.4th 1158.DOCX",human smuggling,1
"United States v. Constante-Zamora, 2023 U.S. Dist. LEXIS 203582.DOCX",alien,1
"United States v. Vasquez, 2023 U.S. Dist. LEXIS 134777.DOCX",alien,1
"United States v. Garcia-Vasquez, 70 F.4th 177.DOCX","alien smuggling, alien, illegal entry",3
"United States v. Williams, 705 F. Supp. 3d 1054.DOCX",human smuggling,1
"State v. Del Campo-Chavez, 674 S.W.3d 714.DOCX","human smuggling, trespassing",2
"In re Loryssa S., 2023 Conn. Super. LEXIS 366.DOCX",human smuggling,1
"United States v. Cruz-Castelazo, 686 F. Supp. 3d 372.DOCX","alien smuggling, alien",2
"Roth v. Islamic Republic of Iran, 651 F. Supp. 3d 65.DOCX",alien,1
