Summary
Total Documents with Terms,21
Total Documents without Terms,112

Document,Terms Found,Term Count
"United States v. Foster, 2023 U.S. Dist. LEXIS 233823.DOCX",alien,1
"Hernandez v. Garland, 59 F.4th 762.DOCX",alien,1
"United States v. Cannata, 2023 U.S. Dist. LEXIS 156711.DOCX",alien,1
"United States v. Harden, 2023 U.S. Dist. LEXIS 100948.DOCX",alien,1
"United States v. Magluta, 2023 U.S. App. LEXIS 16412.DOCX",harboring,1
"United States v. Pippen, 2023 U.S. App. LEXIS 22169.DOCX","alien, undocumented immigrants",2
"Liggett v. People, 2023 CO 22.DOCX",alien,1
"United States v. Ramirez, 2023 U.S. Dist. LEXIS 127057.DOCX",illegal entry,1
"United States v. Tovar, 2023 U.S. Dist. LEXIS 209769.DOCX",alien,1
"Malachowski v. United States, 2023 U.S. Dist. LEXIS 74628.DOCX",alien,1
"State v. Orellana, 997 N.W.2d 889.DOCX",coyote,1
Files (132)_doclist.DOCX,human smuggling,1
"United States v. Sylvester, 2023 U.S. Dist. LEXIS 122299.DOCX",alien,1
"United States v. Hernandez, 2023 U.S. Dist. LEXIS 163972.DOCX",alien,1
"Loera v. United States, 2023 U.S. Dist. LEXIS 229234.DOCX",alien,1
"Censke v. United States, 2023 U.S. Dist. LEXIS 53619.DOCX",harboring,1
"United States v. Colbert, 2023 U.S. Dist. LEXIS 155118.DOCX",illegal entry,1
"United States v. Sylvester, 2023 U.S. Dist. LEXIS 121061.DOCX",alien,1
"Onyeri v. United States, 2023 U.S. Dist. LEXIS 189568.DOCX",alien,1
"Weissman v. Clark, 2023 U.S. Dist. LEXIS 227962.DOCX",alien,1
"Most v. Nunn, 2023 Cal. App. Unpub. LEXIS 2365.DOCX",alien,1
"Hasbajrami v. Blankenship, 2023 U.S. Dist. LEXIS 129624.DOCX",No terms found,0
"McDonald v. Pangelinan, 2023 Guam Trial Order LEXIS 133.DOCX",No terms found,0
"Trump v. Trump, 79 Misc. 3d 866.DOCX",No terms found,0
"State v. Missak, 476 N.J. Super. 302.DOCX",No terms found,0
"Trump v. Trump, 2023 NYLJ LEXIS 1196.DOCX",No terms found,0
"Compton v. State, 666 S.W.3d 685.DOCX",No terms found,0
"United States v. Coley, 2023 U.S. Dist. LEXIS 62379.DOCX",No terms found,0
"WhereverTV, Inc. v. Comcast Cable Commc'ns, LLC, 2023 U.S. Dist. LEXIS 53051.DOCX",No terms found,0
"State v. Copeland, 324 Ore. App. 816.DOCX",No terms found,0
"United States v. Khweis, 2023 U.S. App. LEXIS 20192.DOCX",No terms found,0
"Trump v. Trump, 2023 NYLJ LEXIS 1440.DOCX",No terms found,0
"Scofield v. Guillard, 2023 U.S. Dist. LEXIS 204822.DOCX",No terms found,0
"Commonwealth v. Burton, 2023 Pa. Super. Unpub. LEXIS 1544.DOCX",No terms found,0
"Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin, 599 U.S. 382.DOCX",No terms found,0
"United States v. $115,413.00 in U.S. Currency, 665 F. Supp. 3d 770.DOCX",No terms found,0
"Buttler v. City of Sperry, 2023 U.S. Dist. LEXIS 20985.DOCX",No terms found,0
"United States v. Dupree, 57 F.4th 1269.DOCX",No terms found,0
"TIW Holdings LLC v. EVO Brands LLC, 2023 U.S. Dist. LEXIS 229805.DOCX",No terms found,0
"United States v. Hamm, 2023 U.S. App. LEXIS 11104.DOCX",No terms found,0
"People v. Hutson, 2023 IL App (4th) 220995-U.DOCX",No terms found,0
"United States v. Helm, 58 F.4th 75.DOCX",No terms found,0
"In re Pers. Restraint of Mulamba, 2023 Wash. App. LEXIS 820.DOCX",No terms found,0
"In re Kingdom of Belg., 680 F. Supp. 3d 460.DOCX",No terms found,0
"In re A.S., 2023 Cal. App. Unpub. LEXIS 4248.DOCX",No terms found,0
"United States v. Nava, 2023 U.S. Dist. LEXIS 73919.DOCX",No terms found,0
"Gray v. La. Dep't of Pub. Safety & Corr., 2023 U.S. Dist. LEXIS 40119.DOCX",No terms found,0
"McConnell v. Southwestern Bell Tel. LP, 2023 U.S. Dist. LEXIS 17493.DOCX",No terms found,0
"Martin v. Pittman, 2023 U.S. Dist. LEXIS 138267.DOCX",No terms found,0
"NXP USA, Inc. v. Impinj, Inc., 2023 U.S. Dist. LEXIS 100391.DOCX",No terms found,0
"Ideus v. Deere, 2023 U.S. Dist. LEXIS 110090.DOCX",No terms found,0
"United States v. Osuna-Osorio, 2023 U.S. App. LEXIS 19593.DOCX",No terms found,0
"Moore v. United States, 2023 U.S. Dist. LEXIS 32002.DOCX",No terms found,0
"Amante v. Bachman, 2023 U.S. Dist. LEXIS 98321.DOCX",No terms found,0
"Wondie v. King Cnty., 2023 U.S. Dist. LEXIS 337.DOCX",No terms found,0
"State v. A.M., 252 N.J. 432.DOCX",No terms found,0
"ET Aggregator, LLC v. PFJE AssetCo Holdings LLC, 2023 Del. Super. LEXIS 928.DOCX",No terms found,0
"Estes v. VA. Dep't of Corr., 2023 U.S. Dist. LEXIS 126063.DOCX",No terms found,0
"State v. Galindo, 315 Neb. 1.DOCX",No terms found,0
"McNeil v. Gittere, 2023 U.S. Dist. LEXIS 91852.DOCX",No terms found,0
"Hutchison (McLennan Cnty. #104003) v. Atkinson, 2023 U.S. Dist. LEXIS 154466.DOCX",No terms found,0
"Grayson v. Winnecour, 2023 U.S. Dist. LEXIS 190447.DOCX",No terms found,0
"Aurora ASTRO Prods. LLC v. Celestron Acquisition, LLC, 2023 U.S. Dist. LEXIS 161461.DOCX",No terms found,0
"Henderson v. Mays, 2023 U.S. App. LEXIS 11599.DOCX",No terms found,0
"People v. Castro, 2023 Cal. App. Unpub. LEXIS 2825.DOCX",No terms found,0
"In re January 2021 Short Squeeze Trading Litig., 2023 U.S. Dist. LEXIS 4306.DOCX",No terms found,0
"Gelin v. Baltimore Cnty., 2023 U.S. Dist. LEXIS 43161.DOCX",No terms found,0
"Torres v. Hemingway, 2023 U.S. Dist. LEXIS 46425.DOCX",No terms found,0
"Satanic Temple, Inc. v. Rokita, 2023 U.S. Dist. LEXIS 191387.DOCX",No terms found,0
"Santiago v. Swain, 2023 U.S. Dist. LEXIS 194607.DOCX",No terms found,0
"Intermountain Fair Hous. Council, Inc. v. Tomlinson & Assocs., 2023 U.S. Dist. LEXIS 57012.DOCX",No terms found,0
"Trump v. Trump, 80 Misc. 3d 765.DOCX",No terms found,0
